http://issuu.com/matskafte/docs/mathias_skafte_andersen_portfolio_f,ISSUU - Architecture Portfolio 2014 by Mathias Skafte Andersen,915,"The Architectural Portfolio of Mathias Skafte Andersen, B.Arch MAA (Aarhus School of Architecture and the Bezalel Academy of Arts and Design, Jerusalem)"
http://issuu.com/derekpirozzi/docs/derek_pirozzi_portfolio,ISSUU - Derek Pirozzi USF Graduate Architecture Portfolio by Derek Pirozzi Design Workshop LLC,787,2012 USF SACD Outstanding Design Portfolio Award Nominee. This is my graduate design portfolio featuring advanced design work (pre masters research project)
http://issuu.com/wangzigeng/docs/narrator_wang_zigeng_1500dpi,ISSUU - Narrator_Wang Zigeng by Zigeng Wang,538,"The application portfolio for M.arch 2 program in 2013, admitted by Princeton, GSD, MIT, Columbia and UC Berkeley."
http://issuu.com/sogkarimi/docs/karimiarchportfolio,ISSUU - Ali Karimi Architecture Portfolio by Ali Karimi,451,"[Georgia Tech 2011]  - Admitted into Harvard GSD, Columbia GSAPP, Sci-Arc, and UCLA. For updates , follow me on twitter : @AiKarimi"
http://issuu.com/mr_dave/docs/portfolio_2014,ISSUU - Portfolio 2014 by davide bello,449,This Portfolio represents a selection of professional and academic works realized over the past 6 years.
http://issuu.com/sogkarimi/docs/ali_karimi_portfolio2,ISSUU - [Compromises Promises] - Architecture Portfolio  by Ali Karimi,393,Harvard GSD - M.Arch 2016\n\nInstagram @AiKarimi 
http://issuu.com/jamesleng/docs/jamesleng_portfolio2013,ISSUU - James Leng Work Volume 2013 by James Leng,367,"Portfolio of work completed during graduate studies at the GSD, 2007 - 2013"
http://issuu.com/henrystephens/docs/gradportfolio_2014,ISSUU - Henry Stephens   Graduate Architecture Portfolio by Henry Stephens,347,"Academic, Professional and Personal work completed at: \n\nKunstakademiets Arkitektskole Afd. 2\nSimon Twose Architect \nSchool of Architecture: VUW \nCED: UC Berkeley \n\nAll credit to my teachers and peers. \n\nFor a full portfolio, please visit henrystephens.co.nz"
http://issuu.com/christopheresper/docs/portfolio,ISSUU - Architecture Portfolio by Christopher Esper,329,"(Nearly finalized version, missing one project) Accepted to GSD, MIT, UT, Rice"
http://issuu.com/emanuelefaccini/docs/portfolio2014__complete_version__go,"ISSUU - Portfolio2014, Extended version by Emanuele Faccini",327,"A large, super-dense, exhaustive  portfolio.\nThis should give an idea of what I did till now."
http://issuu.com/b.a.maranda/docs/portfolio_2015,ISSUU - Portfolio 2015 by benoit maranda,283,Architecture Portfolio for Graduate School Applications \n\n- Harvard GSD\n- Yale SoA\n- Columbia GSAPP\n- Cornell AAP\n- Cincinnati\n- University of Toronto\n- Carleton University
http://issuu.com/maithamalmubarak/docs/portfolio2014,ISSUU - Portfolio2014 by Maitham Almubarak,282,None
http://issuu.com/jowett/docs/portfolio2004-11,ISSUU - Chung-Wei Lee Portfolio 2004~2011 by Chung Wei Lee,267,"Undergraduate works portfolio for applying graduate schools. Admitted to Cooper Union MArch II, Columbia MSAAD, Cornell MArch II and UCL MArch Architecture (RIBA pt.2). For Post-graduate projects please visit http://chungweilee.4ormat.com/"
